State,County,Year,median_aqi,sample_weight
Ohio,Washington,2025,41,1.0
Ohio,Wood,2025,39,1.0
Oklahoma,Adair,2025,45,0.9944444444444445
Oklahoma,Canadian,2025,44,1.0
Oklahoma,Carter,2025,33,1.0
Oklahoma,Cleveland,2025,49,1.0
Oklahoma,Comanche,2025,45,1.0
Oklahoma,Creek,2025,43,1.0
Oklahoma,Dewey,2025,49,1.0
Oklahoma,Grant,2025,29,0.1111111111111111
Oklahoma,Kay,2025,38,1.0
Oklahoma,Kiowa,2025,44,1.0
Oklahoma,Love,2025,45,1.0
Oklahoma,Mayes,2025,40,0.6833333333333333
Oklahoma,McClain,2025,43,1.0
Oklahoma,Oklahoma,2025,51,1.0
Oklahoma,Osage,2025,43,1.0
Oklahoma,Ottawa,2025,49,1.0
Oklahoma,Pittsburg,2025,48,1.0
Oklahoma,Sequoyah,2025,42,1.0
Oklahoma,Tulsa,2025,51,1.0
Oklahoma,Washington,2025,44,1.0
Oregon,Baker,2025,25,1.0
Oregon,Clackamas,2025,27,1.0
Oregon,Columbia,2025,25,1.0
Oregon,Crook,2025,24,1.0
Oregon,Deschutes,2025,22,1.0
Oregon,Grant,2025,34,1.0
Oregon,Harney,2025,26,1.0
Oregon,Jackson,2025,42,1.0
Oregon,Jefferson,2025,22,1.0
Oregon,Josephine,2025,31,1.0
Oregon,Klamath,2025,32,1.0
Oregon,Lake,2025,24,1.0
Oregon,Lane,2025,42,1.0
Oregon,Linn,2025,24,1.0
Oregon,Marion,2025,34,1.0
