State,County,Year,median_aqi,sample_weight,Median_Household_Income
Massachusetts,Middlesex,2025,41,1.0,130847.0
Massachusetts,Norfolk,2025,43,1.0,130739.0
Massachusetts,Plymouth,2025,40,1.0,114201.0
Massachusetts,Suffolk,2025,39,1.0,95631.0
Massachusetts,Worcester,2025,42,1.0,95939.0
Michigan,Allegan,2025,43,1.0,83283.0
Michigan,Bay,2025,38,1.0,61763.0
Michigan,Benzie,2025,35,1.0,74834.0
Michigan,Berrien,2025,41,1.0,65425.0
Michigan,Cass,2025,40,1.0,70443.0
Michigan,Clinton,2025,39,1.0,88210.0
Michigan,Genesee,2025,38,1.0,62281.0
Michigan,Huron,2025,38,1.0,58870.0
Michigan,Ingham,2025,37,1.0,65526.0
Michigan,Kalamazoo,2025,40,1.0,72532.0
Michigan,Kent,2025,46,1.0,82631.0
Michigan,Keweenaw,2025,7,0.1055555555555555,52583.0
Michigan,Lenawee,2025,41,1.0,70518.0
Michigan,Macomb,2025,41,1.0,77837.0
Michigan,Manistee,2025,34,1.0,63516.0
Michigan,Marquette,2025,18,0.6833333333333333,65429.0
Michigan,Mason,2025,36,1.0,64748.0
Michigan,Missaukee,2025,36,1.0,66194.0
Michigan,Muskegon,2025,39,1.0,65024.0
Michigan,Oakland,2025,41,1.0,97760.0
Michigan,Ottawa,2025,40,1.0,90502.0
Michigan,Schoolcraft,2025,32,1.0,56782.0
Michigan,St. Clair,2025,39,1.0,71270.0
Michigan,Tuscola,2025,37,1.0,63811.0
Michigan,Washtenaw,2025,41,1.0,89180.0
Michigan,Wayne,2025,52,1.0,60539.0
Michigan,Wexford,2025,38,1.0,61085.0
Minnesota,Anoka,2025,38,0.9944444444444444,101869.0
Minnesota,Becker,2025,38,0.7277777777777777,71388.0
Minnesota,Beltrami,2025,37,0.9388888888888888,68975.0
Minnesota,Blue Earth,2025,38,0.9611111111111112,74477.0
Minnesota,Carlton,2025,35,0.9388888888888888,80573.0
Minnesota,Cass,2025,22,0.5,68874.0
Minnesota,Cook,2025,12,0.4777777777777778,72638.0
Minnesota,Crow Wing,2025,38,0.9944444444444444,72589.0
Minnesota,Dakota,2025,9,1.0,106318.0
Minnesota,Goodhue,2025,41,0.6722222222222223,84171.0
Minnesota,Hennepin,2025,39,1.0,97653.0
Minnesota,Lake,2025,34,0.9,75541.0
Minnesota,Lyon,2025,37,1.0,75303.0
Minnesota,Mille Lacs,2025,35,0.6611111111111111,72729.0
Minnesota,Olmsted,2025,36,0.8888888888888888,95406.0
Minnesota,Ramsey,2025,31,0.6722222222222223,81568.0
Minnesota,Scott,2025,36,0.9444444444444444,119314.0
Minnesota,Stearns,2025,36,0.9555555555555556,77066.0
Minnesota,Washington,2025,37,0.6722222222222223,115345.0
Minnesota,Winona,2025,19,0.0944444444444444,70744.0
Minnesota,Wright,2025,39,0.8722222222222222,107209.0
Mississippi,Bolivar,2025,44,1.0,39585.0
Mississippi,DeSoto,2025,44,1.0,85297.0
Mississippi,Forrest,2025,46,1.0,53640.0
Mississippi,Hancock,2025,44,1.0,67708.0
Mississippi,Harrison,2025,45,1.0,59479.0
Mississippi,Hinds,2025,52,1.0,49402.0
Mississippi,Jackson,2025,46,1.0,66201.0
Mississippi,Lauderdale,2025,35,1.0,50817.0
Mississippi,Lee,2025,38,1.0,67863.0
Mississippi,Yalobusha,2025,33,1.0,49151.0
Missouri,Andrew,2025,42,0.4944444444444444,75625.0
Missouri,Boone,2025,41,0.5111111111111111,72758.0
Missouri,Buchanan,2025,39,0.8222222222222222,62158.0
Missouri,Callaway,2025,42,0.5777777777777777,74176.0
